Date,Location,Temperature F Max,Temperature F Avg,Temperature F Min,Dew Point F Max,Dew Point F Avg,Dew Point F Min,Humidity % Max,Humidity % Avg,Humidity % Min,Wind Speed mph Max,Wind Speed mph Avg,Wind Speed mph Min,Pressure Hg Max,Pressure Hg Avg,Pressure Hg Min,Precipitation In
2017-9-24,Chicago,91.0,72.5,64.0,67.0,62.0,50.0,94.0,74.1,24.0,10.0,3.3,0.0,29.5,29.4,29.4,0.0
2017-9-25,Chicago,91.0,70.8,61.0,61.0,57.0,46.0,94.0,68.6,21.0,10.0,3.5,0.0,29.4,29.4,29.3,0.0
2017-9-26,Chicago,91.0,75.8,65.0,68.0,59.8,52.0,85.0,61.3,27.0,14.0,5.7,0.0,29.4,29.3,29.3,0.0
2017-9-27,Chicago,75.0,68.6,62.0,65.0,55.5,46.0,76.0,63.3,46.0,17.0,11.7,6.0,29.5,29.4,29.4,0.0
2017-9-28,Chicago,68.0,60.6,50.0,51.0,47.8,43.0,88.0,64.2,40.0,13.0,7.3,0.0,29.6,29.5,29.5,0.0
2017-9-29,Chicago,68.0,62.1,55.0,52.0,46.0,43.0,77.0,56.0,45.0,18.0,9.8,0.0,29.7,29.6,29.5,0.0
2017-9-30,Chicago,66.0,59.1,47.0,48.0,43.3,41.0,83.0,56.0,43.0,15.0,9.0,3.0,29.8,29.7,29.7,0.0
2018-1-1,Chicago,5.0,-1.5,-6.0,-10.0,-13.5,-17.0,69.0,57.3,47.0,18.0,11.0,3.0,30.1,30.0,30.0,0.0
2018-1-2,Chicago,8.0,-0.8,-8.0,-3.0,-10.6,-15.0,72.0,64.0,47.0,17.0,7.8,0.0,30.0,29.9,29.5,0.0
2018-1-3,Chicago,19.0,13.6,8.0,10.0,2.8,-2.0,79.0,62.5,54.0,17.0,10.4,7.0,29.6,29.5,29.4,0.0
2018-1-4,Chicago,14.0,7.7,3.0,1.0,-3.5,-6.0,73.0,61.0,45.0,17.0,10.9,8.0,29.7,29.6,29.6,0.0
2018-1-5,Chicago,14.0,5.3,0.0,-4.0,-6.1,-8.0,73.0,60.6,41.0,16.0,10.1,7.0,29.9,29.8,29.7,0.0
2018-1-6,Chicago,18.0,6.5,0.0,-2.0,-6.1,-9.0,72.0,57.4,35.0,10.0,6.5,0.0,30.0,29.9,29.8,0.0
2018-1-7,Chicago,34.0,22.7,7.0,32.0,11.8,-5.0,92.0,63.8,46.0,16.0,10.7,6.0,29.8,29.5,29.3,0.0
2018-1-8,Chicago,37.0,34.5,31.0,34.0,30.4,28.0,93.0,85.8,70.0,23.0,10.5,5.0,29.5,29.4,29.3,0.0
2018-1-9,Chicago,32.0,30.1,27.0,31.0,28.2,26.0,100.0,92.7,87.0,12.0,4.8,0.0,29.7,29.6,29.5,0.0
2018-1-10,Chicago,57.0,44.3,33.0,52.0,41.8,31.0,100.0,90.9,81.0,20.0,12.3,6.0,29.5,29.3,29.1,0.0
2018-1-11,Chicago,61.0,49.5,0.0,57.0,46.0,0.0,94.0,82.3,0.0,24.0,13.7,0.0,29.3,29.1,29.0,0.0
2018-1-12,Chicago,27.0,25.7,23.0,23.0,19.1,15.0,86.0,77.1,69.0,38.0,22.3,12.0,29.7,29.4,29.3,0.0
2018-1-13,Chicago,23.0,14.9,6.0,14.0,4.6,-2.0,79.0,64.6,49.0,30.0,13.3,0.0,30.0,29.9,29.7,0.0
2018-1-14,Chicago,21.0,12.0,3.0,63.0,5.7,-2.0,85.0,69.3,0.0,14.0,6.9,3.0,30.0,29.9,29.6,0.0
2018-1-15,Chicago,27.0,17.7,10.0,21.0,12.2,3.0,86.0,78.6,67.0,17.0,11.4,6.0,29.7,29.6,29.5,0.0
2018-1-16,Chicago,25.0,13.6,5.0,18.0,6.4,-1.0,80.0,74.1,59.0,20.0,10.2,0.0,29.9,29.8,29.7,0.0
2018-1-17,Chicago,21.0,12.0,0.0,10.0,6.0,0.0,85.0,48.9,0.0,20.0,9.8,0.0,29.9,26.6,0.0,0.0
2018-1-18,Chicago,32.0,24.2,16.0,21.0,13.4,9.0,73.0,64.0,48.0,24.0,11.7,7.0,29.6,29.5,29.4,0.0
2018-1-19,Chicago,39.0,33.1,27.0,27.0,21.5,16.0,69.0,62.0,48.0,18.0,12.3,7.0,29.4,29.3,29.1,0.0
2018-1-20,Chicago,46.0,39.2,34.0,37.0,31.1,27.0,87.0,73.0,57.0,17.0,7.7,0.0,29.4,29.3,29.2,0.0
2018-1-21,Chicago,48.0,43.4,39.0,48.0,41.5,35.0,100.0,92.5,82.0,7.0,4.3,0.0,29.4,29.3,29.2,0.0
2018-1-22,Chicago,55.0,49.0,39.0,51.0,45.2,32.0,100.0,88.2,66.0,23.0,9.6,3.0,29.2,29.0,28.8,0.0
2018-1-23,Chicago,39.0,34.5,30.0,34.0,28.8,23.0,93.0,79.9,69.0,17.0,9.9,3.0,29.5,29.2,28.9,0.0
